Product Name,Product ID,Variation Name,Variation SKU,Variation ID,Metrotown,Richmond Center,status,message
Bird Hug Sticker,UQSABDR7QAXTKOISJTDNDOO7,Bird Hug Sticker,JH240-S03,5SFHJSVMCIT6L6NHBCRPXAWB,50,50,OK,Inventory updated successfully for 2 location(s)
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Small,JH240-02S,B6RSP2PW65UHNQWE3KFDLGLS,50,50,OK,Inventory updated successfully for 2 location(s)
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Medium,JH240-02M,DZBE5VNBLKPRTQVQJ47VICZW,50,50,OK,Inventory updated successfully for 2 location(s)
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,Large,JH240-02L,ITGZCKMTV56EXIQ6ADJGWB6U,50,50,OK,Inventory updated successfully for 2 location(s)
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,2XL,JH240-02X,A3IMZQZPEYDEOY7USQKKT7DW,50,50,OK,Inventory updated successfully for 2 location(s)
Blue Corgi Butt Sweater,4GYSOEBLVW7MQPZAVDSMC2MU,4XL,JH240-02Z,KMYIFU6GYTBAMBG3AESEUZ2J,50,50,OK,Inventory updated successfully for 2 location(s)
